Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,,,
,,SYS_AF,TIM1/TIM2/LPTIM1,I2C4/TIM1/TIM2/TIM3,I2C4/USART2/CAN1/TIM1,I2C1/I2C2/I2C3/I2C4,SPI1/SPI2/I2C4,SPI3/DFSDM/COMP1,USART1/USART2/USART3,UART4/LPUART1/CAN1,CAN1/TSC,CAN1/USB/QUADSPI,,SDMMC1/COMP1/COMP2,SAI1,TIM2/TIM15/TIM16/LPTIM2,EVENTOUT,ADC,COMP,DAC
PortA,PA0,,TIM2_CH1,,,,,,USART2_CTS,,,,,COMP1_OUT,SAI1_EXTCLK,TIM2_ETR,EVENTOUT,,,
PortA,PA1,,TIM2_CH2,,,I2C1_SMBA,SPI1_SCK,,USART2_DE/USART2_RTS,,,,LCD_SEG0,,,TIM15_CH1N,EVENTOUT,,,
PortA,PA2,,TIM2_CH3,,,,,,USART2_TX,LPUART1_TX,,QUADSPI_BK1_NCS,LCD_SEG1,COMP2_OUT,,TIM15_CH1,EVENTOUT,,,
PortA,PA3,,TIM2_CH4,,,,,,USART2_RX,LPUART1_RX,,QUADSPI_CLK,LCD_SEG2,,SAI1_MCLK_A,TIM15_CH2,EVENTOUT,,,
PortA,PA4,,,,,,SPI1_NSS,SPI3_NSS,USART2_CK,,,,,,SAI1_FS_B,LPTIM2_OUT,EVENTOUT,,,
PortA,PA5,,TIM2_CH1,TIM2_ETR,,,SPI1_SCK,,,,,,,,,LPTIM2_ETR,EVENTOUT,,,
PortA,PA6,,TIM1_BKIN,,,,SPI1_MISO,COMP1_OUT,USART3_CTS,LPUART1_CTS,,QUADSPI_BK1_IO3,LCD_SEG3,TIM1_BKIN_COMP2,,TIM16_CH1,EVENTOUT,,,
PortA,PA7,,TIM1_CH1N,,,I2C3_SCL,SPI1_MOSI,,,,,QUADSPI_BK1_IO2,LCD_SEG4,COMP2_OUT,,,EVENTOUT,,,
PortA,PA8,RCC_MCO,TIM1_CH1,,,,,,USART1_CK,,,,LCD_COM0,SWPMI1_IO,SAI1_SCK_A,LPTIM2_OUT,EVENTOUT,,,
PortA,PA9,,TIM1_CH2,,,I2C1_SCL,,,USART1_TX,,,,LCD_COM1,,SAI1_FS_A,TIM15_BKIN,EVENTOUT,,,
PortA,PA10,,TIM1_CH3,,,I2C1_SDA,,,USART1_RX,,,CRS_SYNC,LCD_COM2,,SAI1_SD_A,,EVENTOUT,,,
PortA,PA11,,TIM1_CH4,TIM1_BKIN2,,,SPI1_MISO,COMP1_OUT,USART1_CTS,,CAN1_RX,USB_DM,,TIM1_BKIN2_COMP1,,,EVENTOUT,,,
PortA,PA12,,TIM1_ETR,,,,SPI1_MOSI,,USART1_DE/USART1_RTS,,CAN1_TX,USB_DP,,,,,EVENTOUT,,,
PortA,PA13 (JTMS-SWDIO),SYS_JTMS-SWDIO,IR_OUT,,,,,,,,,USB_NOE,,SWPMI1_TX,SAI1_SD_B,,EVENTOUT,,,
PortA,PA14 (JTCK-SWCLK),SYS_JTCK-SWCLK,LPTIM1_OUT,,,I2C1_SMBA,,,,,,,,SWPMI1_RX,SAI1_FS_B,,EVENTOUT,,,
PortA,PA15 (JTDI),SYS_JTDI,TIM2_CH1,TIM2_ETR,USART2_RX,,SPI1_NSS,SPI3_NSS,USART3_DE/USART3_RTS,,TSC_G3_IO1,,LCD_SEG17,SWPMI1_SUSPEND,,,EVENTOUT,,,
PortB,PB0,,TIM1_CH2N,,,,SPI1_NSS,,USART3_CK,,,QUADSPI_BK1_IO1,LCD_SEG5,COMP1_OUT,SAI1_EXTCLK,,EVENTOUT,,,
PortB,PB1,,TIM1_CH3N,,,,,,USART3_DE/USART3_RTS,LPUART1_DE/LPUART1_RTS,,QUADSPI_BK1_IO0,LCD_SEG6,,,LPTIM2_IN1,EVENTOUT,,,
PortB,PB2,RTC_OUT_ALARM/RTC_OUT_CALIB,LPTIM1_OUT,,,I2C3_SMBA,,,,,,,LCD_VLCD,,,,EVENTOUT,,,
PortB,PB3 (JTDO-TRACESWO),SYS_JTDO-SWO,TIM2_CH2,,,,SPI1_SCK,SPI3_SCK,USART1_DE/USART1_RTS,,,,LCD_SEG7,,SAI1_SCK_B,,EVENTOUT,,,
PortB,PB4 (NJTRST),SYS_JTRST,,,,I2C3_SDA,SPI1_MISO,SPI3_MISO,USART1_CTS,,TSC_G2_IO1,,LCD_SEG8,,SAI1_MCLK_B,,EVENTOUT,,,
PortB,PB5,,LPTIM1_IN1,,,I2C1_SMBA,SPI1_MOSI,SPI3_MOSI,USART1_CK,,TSC_G2_IO2,,LCD_SEG9,COMP2_OUT,SAI1_SD_B,TIM16_BKIN,EVENTOUT,,,
PortB,PB6,,LPTIM1_ETR,,,I2C1_SCL,,,USART1_TX,,TSC_G2_IO3,,,,SAI1_FS_B,TIM16_CH1N,EVENTOUT,,,
PortB,PB7,,LPTIM1_IN2,,,I2C1_SDA,,,USART1_RX,,TSC_G2_IO4,,LCD_SEG21,,,,EVENTOUT,,,
PortB,PB8,,,,,I2C1_SCL,,,,,CAN1_RX,,LCD_SEG16,,SAI1_MCLK_A,TIM16_CH1,EVENTOUT,,,
PortB,PB9,,IR_OUT,,,I2C1_SDA,SPI2_NSS,,,,CAN1_TX,,LCD_COM3,,SAI1_FS_A,,EVENTOUT,,,
PortB,PB10,,TIM2_CH3,,,I2C2_SCL,SPI2_SCK,,USART3_TX,LPUART1_RX,TSC_SYNC,QUADSPI_CLK,LCD_SEG10,COMP1_OUT,SAI1_SCK_A,,EVENTOUT,,,
PortB,PB11,,TIM2_CH4,,,I2C2_SDA,,,USART3_RX,LPUART1_TX,,QUADSPI_BK1_NCS,LCD_SEG11,COMP2_OUT,,,EVENTOUT,,,
PortB,PB12,,TIM1_BKIN,,TIM1_BKIN_COMP2,I2C2_SMBA,SPI2_NSS,,USART3_CK,LPUART1_DE/LPUART1_RTS,TSC_G1_IO1,,LCD_SEG12,SWPMI1_IO,SAI1_FS_A,TIM15_BKIN,EVENTOUT,,,
PortB,PB13,,TIM1_CH1N,,,I2C2_SCL,SPI2_SCK,,USART3_CTS,LPUART1_CTS,TSC_G1_IO2,,LCD_SEG13,SWPMI1_TX,SAI1_SCK_A,TIM15_CH1N,EVENTOUT,,,
PortB,PB14,,TIM1_CH2N,,,I2C2_SDA,SPI2_MISO,,USART3_DE/USART3_RTS,,TSC_G1_IO3,,LCD_SEG14,SWPMI1_RX,SAI1_MCLK_A,TIM15_CH1,EVENTOUT,,,
